rxn00001	diphosphate phosphohydrolase
rxn06870	[Protein]-L-serine epimerase
rxn06871	S-Adenosyl-L-methionine:[3-phospho-D-glycerate-carboxy-lyase (dimerizing)]-lysine N6-methyltransferase
rxn06872	[methionine
rxn06873	Quinoline-4-carboxylate:acceptor 2-oxidoreductase (hydroxylating)
rxn06874	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)
rxn06875	Reduced flavodoxin:dinitrogen oxidoreductase (ATP-hydrolysing)
rxn06876	acyl-CoA:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and
rxn06877	Acyl-CoA:methylmalonyl-CoA C-acyltransferase (decarboxylating,
rxn06878	Acyl-CoA:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and
rxn06879	UDP-D-galacturonate:1,4-alpha-poly-D-galacturonate 4-alpha-D-galacturonosyltransferase
rxn06880	Calmodulin:ubiquitin ligase (AMP-forming)
rxn06881	1,4-alpha-D-Glucan:1,4-alpha-D-glucan 4-alpha-D-glycosyltransferase
rxn06882	10-Formyltetrahydrofolyl L-glutamate:L-glutamate gamma-ligase (ADP-forming)
rxn06883	Protein-N(pai)-phosphohistidine:sugar N(pai)-phosphotransferase
rxn06884	protein arginine N-methyltransferase family protein
rxn06885	rxn06885
rxn06887	R05224
rxn06888	Penicillin-N,2-oxoglutarate:oxygen oxidoreductase (ring-expanding)
rxn06889	CHLREDRAFT_121409 hypothetical protein  [SP:A8JB38_CHLRE]
rxn06890	R05238
rxn06891	R05255
rxn06892	R05260
rxn06893	R05267
rxn06895	rxn06895
rxn06896	4-Hydroxybenzoyl-CoA:(acceptor) oxidoreductase
rxn06897	UDPglucose:cis-p-coumarate beta-D-glucosyltransferase
rxn06898	UDP-glucose:limonin glucosyltransferase
rxn06899	rxn06899
rxn06900	Spermidine:eIF5A-lysine 4-aminobutyltransferase (propane-1,3-diamine-forming)
rxn06901	Phospholipid:1,2-diacyl-sn-glycerol O-acyltransferase
rxn06902	rxn06902
rxn06903	rxn06903
rxn06904	R05355
rxn06905	R05363
rxn06906	trans-3-chloroacrylic acid chlorohydrolase
rxn06907	cis-3-chloroacrylic acid chlorohydrolase
rxn06908	5-Chloro-1,2,4-trihydroxybenzene chloride-lyase
rxn06910	R05391
rxn06911	R05398
rxn06912	R05419
rxn06913	rxn06913
rxn06914	rxn06914
rxn06915	rxn06915
rxn06916	rxn06916
rxn06917	rxn06917
rxn06918	rxn06918
rxn06919	rxn06919
rxn06920	R05482
rxn06921	R05488
rxn06922	R05489
rxn06923	R05490
rxn06924	R05491
rxn06925	cytochrome P450, putative
rxn06926	reduced ferredoxin:acetylene oxidoreductase (ATP-hydrolysing)
rxn06927	R05505
rxn06928	R05512
rxn06929	rxn06929
rxn06930	R05537
rxn06931	R05539
rxn06932	geranylgeranyl transferase type II beta subunit, putative / RAB geranylgeranyltransferase beta subunit, putative
rxn06933	Atrazine chlorohydrolase
rxn06934	Protein-N(pai)-phosphohistidine:sugar N(pai)-phosphotransferase
rxn06935	R05572
rxn06936	L-Aspartate:tRNA(Asp) ligase (AMP-forming)
rxn06937	L-glutamate:tRNA(Glu) ligase (AMP-forming)
rxn06938	glutaryl-CoA:(acceptor) 2,3-oxidoreductase (non-decarboxylating)
rxn06939	R05583
rxn06940	(R)-benzylsuccinyl-CoA:electron transfer flavoprotein oxidoreductase
rxn06941	rxn06941
rxn06942	3-demethylubiquinone-9 3-o-methyltransferase
rxn06943	all-trans-polyprenyl diphosphate:1,4-dihydroxy-2-naphthoate polyprenyltransferase
rxn06944	R05619
rxn06945	2,6-beta-D-Fructan fructanohydrolase
rxn06946	protein kinase (ADK1)
rxn06947	Formyl-L-methionyl peptide amidohydrolase
rxn06948	R05657
rxn06949	R05669
rxn06950	R05671
rxn06951	glycine:acceptor oxidoreductase (cyanide-forming)
rxn06952	N6-dimethylallyladenine:(acceptor) oxidoreductase
rxn06953	chloride:oxygen oxidoreductase
rxn06954	choline,reduced-ferredoxin:oxygen oxidoreductase
rxn06955	linoleate, hydrogen-donor:oxygen oxidoreductase (D12-unsaturating)
rxn06956	7-O-methylluteone:O2 oxidoreductase
rxn06957	thiophene-2-carbonyl-CoA, hydrogen-donor:oxygen oxidoreductase
rxn06958	rubredoxin:superoxide oxidoreductase
rxn06959	trans-ferulate:CoASH ligase (ATP-hydrolysing)
rxn06960	ethylbenzene:(acceptor) oxidoreductase
rxn06961	glutharedoxin:arsenate oxidoreductase
rxn06962	MMA(V) reductase
rxn06963	arsenite:azurin oxidoreductase
rxn06964	arsenate:(acceptor) oxidoreductase
rxn06965	acceptor:trichloroethene oxidoreductase (chlorinating)
rxn06966	S-adenosyl-L-methionine:methylarsonite As-methyltransferase
rxn06967	diphospho-myo-inositol-polyphosphate diphosphohydrolase
rxn06968	N-carbamoyl-L-amino acid amidohydrolase
rxn06969	acyloxyacyl hydrolase
rxn06970	cutin hydrolase
rxn06971	CDP-diacylglycerol:choline O-phosphatidyltransferase
rxn06972	ATP:1-phosphatidyl-1D-myo-inositol-4-phosphate 3-phosphotransferase
rxn06973	poly[(R)-3-hydroxyoctanoate] hydrolase
rxn06974	poly[(R)-3-hydroxybutyrate] hydrolase
rxn06975	3'-phosphoadenylyl-sulfate:[heparan sulfate]-glucosamine 3-sulfotransferase
rxn06976	ATP:1-phosphatidyl-1D-myo-inositol-3-phosphate 5-phosphotransferase
rxn06977	ATP:1-phosphatidyl-1D-myo-inositol-5-phosphate 4-phosphotransferase
rxn06979	cobyrinate:L-glutamine amido-ligase (ADP-forming)
rxn06980	(3Z)-phycocyanobilin:ferredoxin oxidoreductase
rxn06981	15,16-dihydrobiliverdin:ferredoxin oxidoreductase
rxn06982	(3Z)-phycoerythrobilin:ferredoxin oxidoreductase
rxn06983	Protein-N(pai)-phosphohistidine:sugar N(pai)-phosphotransferase
rxn06984	R05843
rxn06985	R05853
rxn06986	R05854
rxn06987	R05859
rxn06988	R05868
rxn06989	R05869
rxn06990	Ferredoxin:NAD oxidoreductase
rxn06991	GcpE protein; nuclear gene for chloroplast product
rxn06992	R05895
rxn06993	R05897
rxn06994	R05898
rxn06997	oxidized polyvinyl alcohol hydrolase
rxn06998	rxn06998
rxn06999	rxn06999
rxn07000	Galactan galactohydrolase
rxn07001	rxn07001
rxn07002	UDP-N-acetyl-D-glucosamine:dolichyl-phosphate N-acetyl-D-glucosamine
rxn07003	rxn07003
rxn07005	rxn07005
rxn07006	rxn07006
rxn07009	rxn07009
rxn07011	rxn07011
rxn07013	sucrose:phosphate alpha-D-glucosyltransferase
rxn07015	maltose:phosphate 1-beta-D-glucosyltransferase
rxn07018	trehalose 6-phosphate:phosphate beta-D-glucosyltransferase
rxn07019	R06046
rxn07021	R06054
rxn07023	cellobiose:phosphate alpha-D-glucosyltransferase
rxn07024	beta-D-galactopyranosyl-(1->3)-N-acetyl-D-hexosamine:phosphate
rxn07026	alpha-D-glucose-1-phosphate:alpha-D-glucose-1-phosphate
rxn07031	rxn07031
rxn07034	rxn07034
rxn07037	rxn07037
rxn07039	rxn07039
rxn07040	rxn07040
rxn07041	rxn07041
rxn07043	Galactan galactohydrolase
rxn07045	rxn07045
rxn07047	rxn07047
rxn07049	rxn07049
rxn07051	rxn07051
rxn07053	R06124
rxn07054	R06131
rxn07055	R06133
rxn07056	R06134
rxn07058	R06137
rxn07059	rxn07059
rxn07060	rxn07060
rxn07061	rxn07061
rxn07062	rxn07062
rxn07063	rxn07063
rxn07064	rxn07064
rxn07066	rxn07066
rxn07070	[poly-N-acetyl-D-glucosaminyl-(1->4)-(N-acetyl-D-muramoylpentapeptide)]-diphosphoundecaprenol:[N-acetyl-D-glucosaminyl-(1->4)-N-acetyl-D-muramoylpentapeptide]-diphosphoundecaprenol polysaccharidetransferase
rxn07075	rxn07075
rxn07077	rxn07077
rxn07078	rxn07078
rxn07085	rxn07085
rxn07086	rxn07086
rxn07087	rxn07087
rxn07088	rxn07088
rxn07089	rxn07089
rxn07090	acetyl-CoA:heparan-alpha-D-glucosaminide N-acetyltransferase
rxn07093	N-acetyl-D-galactosamine 6-sulfate 6-sulfohydrolase
rxn07094	rxn07094
rxn07095	mycothiol:NAD(P)+ oxidoreductase
rxn07097	Taxa-4,11-diene,hydrogen-donor:oxygen oxidoreductase (5alpha-hydroxylating)
rxn07098	Acyl-CoA:isopenicillin N N-acyltransferase
rxn07099	Penicillin hydrolase
rxn07100	CDPethanolamine:1-alkyl-2-acylglycerol ethanolaminephosphotransferase
rxn07101	perillic acid:CoA ligase (ADP-forming)
rxn07102	perillic acid:CoA ligase (AMP-forming)
rxn07103	R06370
rxn07104	carvone reductase
rxn07105	alpha-Pinene dehydrogenase
rxn07106	Myrtenol dehydrogenase
rxn07107	Myrtenal dehydrogenase
rxn07108	acyl-CoA:sphingosine N-acyltransferase
rxn07109	R06519
rxn07110	acyl-CoA: phytosphingosine N-acyltransferase
rxn07111	R06544
rxn07112	R06545
rxn07113	R06546
rxn07114	R06550
rxn07115	flavanone,NADPH:oxygen oxidoreductase
rxn07116	flavanone,NADPH:oxygen oxidoreductase
rxn07117	R06565
rxn07118	trans-5-O-(4-coumaroyl)-D-shikimate,NADPH:oxygen oxidoreductase (3'-hydorxylating)
rxn07119	rxn07119
rxn07120	rxn07120
rxn07121	rxn07121
rxn07122	D-glucose:ubiquinone oxidoreductase
rxn07123	glycoprotein-phosphatidylinositol phosphatidohydrolase
rxn07124	rxn07124
rxn07125	R06635
rxn07126	rxn07126
rxn07127	R06637
rxn07128	rxn07128
rxn07129	rxn07129
rxn07130	rxn07130
rxn07131	R06641
rxn07132	R06642
rxn07133	R06643
rxn07134	R06644
rxn07135	R06645
rxn07136	rxn07136
rxn07137	rxn07137
rxn07138	rxn07138
rxn07139	rxn07139
rxn07140	S-adenosyl-L-methionine:nogalonic-acid O-methyltransferase
rxn07141	R06676
rxn07142	R06678
rxn07143	rxn07143
rxn07144	rxn07144
rxn07145	R06707
rxn07146	R06710
rxn07147	R06711
rxn07148	R06741
rxn07149	R06744
rxn07150	R06746
rxn07151	R06747
rxn07152	R06748
rxn07153	R06749
rxn07154	R06751
rxn07155	R06752
rxn07156	R06753
rxn07157	R06754
rxn07158	R06755
rxn07159	R06756
rxn07160	rxn07160
rxn07161	R06760
rxn07162	R06761
rxn07163	R06764
rxn07164	R06765
rxn07165	R06766
rxn07166	R06768
rxn07167	R06775
rxn07168	R06776
rxn07169	2-chloro-2,5-dihydro-5-oxofuran-2-acetate lyase (decyclizing)
rxn07170	R06850
rxn07171	R06855
rxn07172	UDP-sulfoquinovose:diacylglycerol alpha-D-sulfoquinovosyltransferase
rxn07173	Acyl-CoA:sn-glycerol-3-phosphate 2-O-acyltransferase
rxn07174	1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate 3-phosphohydrolase
rxn07175	R06901
rxn07176	R06964
rxn07177	4-(ethylamino)-2-hydroxy-6-(isopropylamino)-1,3,5-triazine ethylaminohydrolase
rxn07178	R06992
rxn07179	Linoleoyl-CoA,hydrogen-donor:oxygen oxidoreductase
rxn07180	Phosphatidylcholine 2-acylhydrolase
rxn07181	2-(S-glutathionyl)acetyl-chloride:glutathione 2-(S-glutathionyl)acetyltransferase
rxn07182	R07096
rxn07183	R07097
rxn07184	Oplophorus-luciferin:oxygen 2-oxidoreductase (decarboxylating)
rxn07185	D-galactose:NADP+ 1-oxidoreductase
rxn07186	2-dehydro-D-gluconate:acceptor 2-oxidoreductase
rxn07187	pyridoxine:(acceptor) 5-oxidoreductase
rxn07188	(2R)-hydroxy-carboxylate:acceptor oxidoreductase
rxn07189	carbon-monoxide,water:ferredoxin oxidoreductase
rxn07190	aldehyde:ferredoxin oxidoreductase
rxn07191	D-glyceraldehyde-3-phosphate:ferredoxin oxidoreductase
rxn07193	3-(indol-3-yl)pyruvate:ferredoxin oxidoreductase (decarboxylating,CoA-indole-acetylating)
rxn07194	acyl-CoA:NADP+ trans-2-oxidoreductase
rxn07195	all-trans-13,14-dihydroretinol:acceptor 13,14-oxidoreductas
rxn07196	D-amino-acid:(acceptor) oxidoreductase (deaminating)
rxn07197	taurine:(acceptor) oxidoreductase (deaminating)
rxn07198	hydrazine:acceptor oxidoreductase
rxn07199	thiol-containing-reductant:hydroperoxide oxidoreductase
rxn07200	hydrogen:NADP+ oxidoreductase
rxn07201	hydrogen:(acceptor) oxidoreductase
rxn07202	ketosteroid,NADPH:oxygen oxidoreductase (20-hydroxylating,ester-producing)
rxn07203	ketosteroid,NADPH:oxygen oxidoreductase (20-hydroxylating, side-chain cleaving/17-hydroxylating, lactonizing)
rxn07204	alkanesulfonate, reduced-FMN:oxygen oxidoreductase
rxn07205	cholesterol,hydrogen-donor:oxygen oxidoreductase (25-hydroxylating)
rxn07206	4-cresol:acceptor oxidoreductase (methyl-hydroxylating)
rxn07207	acetyl-phosphate ammonia:thioredoxin disulfide
rxn07208	acetyl-phosphate methylamine:thioredoxin disulfide
rxn07209	acetyl-phosphate trimethylamine:thioredoxin disulfide
rxn07210	selenite:reduced acceptor oxidoreductase
rxn07212	S-adenosyl-L-methionine:rRNA (adenine-N6-)-methyltransferase
rxn07213	S-adenosyl-L-methionine:rRNA (guanine-N1-)-methyltransferase
rxn07214	S-adenosyl-L-methionine:rRNA (guanine-N2-)-methyltransferase
rxn07215	S-adenosyl-L-methionine:[cytochrome c]-arginine N(omega)-methyltransferase
rxn07216	acetyl-CoA:polysialic-acid O-acetyltransferase
rxn07217	acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl- and enoyl-reducing, thioester-hydrolysing)
rxn07218	acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl-reducing, thioester-hydrolysing and cyclizing)
rxn07219	malonyl-CoA:4-coumaroyl-CoA malonyltransferase (cyclizing, reducing)
rxn07220	malonyl-CoA:anthocyanidin-3-O-beta-D-glucoside 6''-O-malonyltransferase
rxn07221	NDP-glucose:D-fructose 2-alpha-D-glucosyltransferase
rxn07222	UDP-N-acetyl-D-glucosamine:6-(alpha-D-mannosyl)-beta-D-mannosyl-glycoprotein 2-beta-N-acetyl-D-glucosaminyltransferase
rxn07223	UDP-N-acetyl-D-glucosamine:beta-D-mannosyl-glycoprotein 4-beta-N-acetyl-D-glucosaminyltransferase
rxn07224	NDP-glucose:1,4-alpha-D-glucan 4-alpha-D-glucosyltransferase
rxn07225	diamine:2-oxoglutarate aminotransferase
rxn07226	dGTP:depurinated-DNA purine transferase
rxn07227	polyribonucleotide:phosphate nucleotidyltransferase
rxn07228	3'-phosphoadenylyl-sulfate:dermatan 6'-sulfotransferase
rxn07229	4-hydroxy-3-methoxycinnamoyl-sugar hydrolase
rxn07230	1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate 4-phosphohydrolase
rxn07231	(R)-2-haloacid halidohydrolase
rxn07232	(S)-2-haloacid dehalogenase (configuration-retaining)
rxn07233	(R)-2-haloacid dehalogenase (configuration-retaining)
rxn07234	(3S)-3-hydroxyacyl-CoA hydro-lyase
rxn07235	long-chain-fatty-acid:[acyl-carrier-protein] ligase (AMP-forming)
rxn07236	alcohol:NAD+ oxidoreductase
rxn07237	alcohol:NAD+ oxidoreductase
rxn07238	alcohol:NADP+ oxidoreductase
rxn07239	UDP-N-acetyl-D-glucosamine:beta-D-glucuronosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase
rxn07240	UDP-alpha-D-glucuronate:N-acetyl-alpha-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-proteoglycan 4-beta-glucuronosyltransferase
rxn07241	alpha-D-glucuronate:N-acetyl-beta-D-galactosaminyl-(1->4)-beta-D-glucuronosyl-proteoglycan 3-beta-glucuronosyltransferase
rxn07242	nucleotide:nucleoside 5'-phosphotransferase
rxn07243	myo-inositol-phosphate phosphohydrolase
rxn07244	pyranose:acceptor oxidoreductase
rxn07245	pyranoside:acceptor oxidoreductase
rxn07246	n-alkanal:NAD+ 2-oxidoreductase
rxn07247	n-alkanal:NADP+ 2-oxidoreductase
rxn07248	flavan-3-ol:NAD+ oxidoreductase
rxn07249	flavan-3-ol:NADP+ oxidoreductase
rxn07250	2-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan,NADPH:oxygen oxidoreductase (cyclizing)
rxn07251	NADH:quinone oxidoreductase
rxn07252	1-(beta-D-ribofuranosyl)-1,4-dihydronicotinamide:quinone oxidoreductase
rxn07253	(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA:acceptor 24-oxidoreductase (24R-hydroxylating)
rxn07254	L-1-phosphatidylethanolamine:L-serine phosphatidyltransferase
rxn07255	R07377
rxn07256	Plasmenylethanolamine 2-acylhydrolase
rxn07257	Lysoplasmalogen ethanolamine phosphohydrolase
rxn07258	Plasmenylethanolamine ethanolamine phosphohydrolase
rxn07259	R07382
rxn07260	R07383
rxn07261	R07384
rxn07262	R07385
rxn07263	R07386
rxn07264	Plasmanylcholine 2-acylhydrolase
rxn07265	1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine ethanolaminehydrolase
rxn07266	R07389
rxn07267	R07390
rxn07268	UDP-N-acetyl-D-glucosamine:beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-proteoglycan
rxn07269	glycoprotein-phosphatidylinositol phosphatidohydrolase
rxn07270	choline,reduced-ferredoxin:oxygen oxidoreductase
rxn07271	Delta5-3-ketosteroid isomerase
rxn07272	3-beta-hydroxysteroid dehydrogenase
rxn07273	Campest-4-en-3-one,NADPH:steroid 5alpha-reductase
rxn07274	6-Oxocampestanol,NADPH:brassinosteroid C22alpha-hydroxylase
rxn07275	6-Deoxo-cathasterone:brassinosteroid C23alpha-hydroxylase
rxn07276	donor:hydrogen-peroxide oxidoreductase
rxn07277	Teasterone:brassinosteroid C3-oxidoreductase
rxn07278	Campesterol,NADPH:brassinosteroid C22alpha-hydroxylase
rxn07279	22alpha-Hydroxy-campesterol:3-oxosteroid Delta5-Delta4-isomerase,NAD+ 3-oxidoreductase
rxn07280	22alpha-Hydroxy-campest-4-en-3-one,NADPH:steroid 5alpha-reductase
rxn07281	6-Deoxocathasterone:brassinosteroid C23alpha-hydroxylase
rxn07282	6-Deoxoteasterone:brassinosteroid C3-oxidoreductase
rxn07283	6-Deoxocastasterone:brassinosteroid C6-oxidase
rxn07284	R07451
rxn07285	Campest-4-en-3-one,NADPH:brassinosteroid C22alpha-hydroxylase
rxn07286	5alpha-Campestan-3-one,NADPH:brassinosteroid C22alpha-hydroxylase
rxn07287	Campesterol,NADPH:brassinosteroid C22alpha-hydroxylase
rxn07288	6-Deoxoteasterone:brassinosteroid C6-oxidase
rxn07289	3-Dehydro-6-deoxoteasterone:brassinosteroid C6-oxidase
rxn07290	6-Deoxotyphasterol:brassinosteroid C6-oxidase
rxn07291	ATP:[ThiS] adenylyltransferase
rxn07292	L-cysteine:[ThiI] sulfurtransferase
rxn07293	R07461
rxn07294	R07462
rxn07295	glycine oxidase
rxn07296	R07464
rxn07297	R07465
rxn07298	R07466
rxn07299	R07467
rxn07300	R07468
rxn07301	R07469
rxn07302	R07470
rxn07303	R07471
rxn07304	R07472
rxn07305	R07473
rxn07306	R07474
rxn07307	(2R)-O-phospho-3-sulfolactate sulfo-lyase
rxn07308	spermidine:NAD+ oxidoreductase
rxn07309	[eIF5A-precursor]-deoxyhypusine:NAD+ oxidoreductase
rxn07310	dehydrospermidine:[enzyme]-lysine N-4-aminobutylidenetransferase
rxn07312	R07481
rxn07313	R07482
rxn07314	R07483
rxn07315	R07484
rxn07316	R07485
rxn07317	R07486
rxn07318	R07487
rxn07319	R07488
rxn07320	R07489
rxn07321	R07490
rxn07322	R07491
rxn07323	R07492
rxn07324	R07493
rxn07325	R07494
rxn07326	rxn07326
rxn07327	R07496
rxn07328	R07497
rxn07329	rxn07329
rxn07330	rxn07330
rxn07331	phytyl-diphosphate:homogentisate phytyltransferase (decarboxylating)
rxn07332	R07501
rxn07333	R07502
rxn07334	R07503
rxn07335	S-adenosyl-L-methionine:delta-tocopherol 5-O-methyltransferase
rxn07336	5alpha-cholest-7-en-3beta-ol, NAD(P)H:oxygen 5-oxidoreductase
rxn07337	R07506
rxn07338	rxn07338
rxn07339	R07508
rxn07340	rxn07340
rxn07341	rxn07341
rxn07342	rxn07342
rxn07343	7,9,7',9'-tetracis-lycopene cis-trans-isomerase
rxn07344	17-O-acetylajmaline O-acetylhydrolase
rxn07345	6-hydroxypseudooxynicotinemonooxygenase
rxn07346	2,6-dihydroxypseudooxynicotinehydrolase
rxn07347	lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)
rxn07348	R07517
rxn07349	rxn07349
rxn07350	lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)
rxn07351	rxn07351
rxn07352	S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase
rxn07353	lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)
rxn07354	rxn07354
rxn07355	S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase
rxn07356	R07525
rxn07357	R07526
rxn07358	S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase
rxn07359	lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)
rxn07360	S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase
rxn07361	alpha-carotene,NADH:oxygen 3-oxidoreductase
rxn07362	Zeinoxanthin,hydrogen-donor:oxygen oxidoreductase (3'-hydroxylating)
rxn07363	lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)
rxn07364	demethylspheroidene O-methyltransferase
rxn07365	rxn07365
rxn07366	S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase
rxn07367	lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)
rxn07368	R07537
rxn07369	R07538
rxn07370	lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)
rxn07371	rxn07371
rxn07372	R07541
rxn07373	rxn07373
rxn07374	lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)
rxn07375	R07544
rxn07376	R07545
rxn07377	R07546
rxn07378	R07547
rxn07379	R07548
rxn07380	R07549
rxn07381	R07550
rxn07382	R07551
rxn07383	R07552
rxn07384	R07553
rxn07385	R07554
rxn07386	R07555
rxn07387	R07556
rxn07388	R07557
rxn07389	beta-carotene,NADH:oxygen 3-oxidoreductase
rxn07390	beta-cryptoxanthin,NADH:oxygen 3'-oxidoreductase
rxn07391	R07560
rxn07392	echinenone,NADH:oxygen 3'-oxidoreductase
rxn07394	R07563
rxn07395	R07564
rxn07397	R07566
rxn07399	canthaxanthin,NADH:oxygen 3-oxidoreductase
rxn07400	3'-hydroxyechinenone,NADH:oxygen 3-oxidoreductase
rxn07402	R07571
rxn07403	phoenicoxanthin,NADH:oxygen 3'-oxidoreductase
rxn07404	R07573
rxn07405	UDP-glucose:zeaxanthin beta-D-glucosyltransferase
rxn07406	UDP-D-glucose:abscisate beta-D-glucosyltransferase
rxn07407	R07576
rxn07408	R07577
rxn07409	R07578
rxn07410	R07579
rxn07411	R07580
rxn07412	R07581
rxn07413	(9S,10S)-10-hydroxy-9-(phosphonooxy)octadecanoate phosphohydrolase
rxn07414	myo-inositol-hexakisphosphate 5-phosphohydrolase
rxn07415	myo-inositol-hexakisphosphate 5-phosphohydrolase
rxn07416	rxn07416
rxn07417	rxn07417
rxn07418	rxn07418
rxn07419	rxn07419
rxn07420	rxn07420
rxn07421	rxn07421
rxn07422	rxn07422
rxn07423	rxn07423
rxn07424	rxn07424
rxn07425	rxn07425
rxn07426	rxn07426
rxn07427	rxn07427
rxn07428	5,6alpha-epoxy-5alpha-cholestan-3beta-ol hydrolase
rxn07429	L-lysine:oxygen 6-oxidoreductase (deaminating)
rxn07430	R07599
rxn07431	R07600
rxn07432	R07601
rxn07433	R07602
rxn07434	R07603
rxn07435	R07604
rxn07436	7-aminomethyl-7-carbaguanine:NADP+ oxidoreductase
rxn07437	L-methionine:thioredoxin-disulfide S-oxidoreductase
rxn07438	peptide-methionine:thioredoxin-disulfide S-oxidoreductase
rxn07439	L-methionine:thioredoxin-disulfide S-oxidoreductase [L-methionine (R)-S-oxide-forming]
rxn07440	reactive-black-5:hydrogen-peroxide oxidoreductase
rxn07441	LL-2,6-diaminoheptanedioate:2-oxoglutarate aminotransferase
rxn07443	protein-omega-N-(ADP-D-ribosyl)-L-arginine ADP-ribosylhydrolase
rxn07444	cis-stilbene-oxide hydrolase
rxn07445	3-oxo-3-ureidopropanoate amidohydrolase (urea- and malonate-forming)
rxn07446	2-trans,6-trans-farnesyl-diphosphate diphosphate-lyase (amorpha-4,11-diene-forming)
rxn07447	geranyl-diphosphate diphosphate-lyase [(3S)-linalool-forming]
rxn07448	geranyl-diphosphate diphosphate-lyase [(3R)-linalool-forming]
rxn07449	3-sulfolactate bisulfite-lyase
rxn07450	L-cysteate bisulfite-lyase (deaminating)
rxn07451	6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol diacylglycerol-lyase (1,2-cyclic-phosphate-forming)
rxn07452	FAD AMP-lyase (cyclic-FMN-forming)
rxn07453	aliphatic aldoxime hydro-lyase
rxn07454	(Z)-phenylacetaldehyde-oxime hydro-lyase
rxn07455	decenoyl-[acyl-carrier-protein] delta2-trans-delta3-cis-isomerase
rxn07456	R07641
rxn07457	L-amino acid:L-amino acid ligase (ADP-forming)
rxn07458	L-glutamate:histamine ligase
rxn07459	2,3-dihydroxybenzoate:L-serine ligase
rxn07461	L-lysine:tRNAPyl ligase (AMP-forming)
rxn07462	2-trans,6-trans-farnesyl-diphosphate diphosphate-lyase [(1E,4S,5E,7R)-germacra-1(10),5-dien-11-ol-forming]
rxn07463	2-trans,6-trans-farnesyl-diphosphate diphosphate-lyase [(-)-Germacrene D-forming]
rxn07464	2-trans,6-trans-farnesyl-diphosphate diphosphate-lyase (germacrene-A-forming)
rxn07465	L-2,4-diaminobutanoate carboxy-lyase
rxn07466	D-Ala-D-Ala dipeptidase
rxn07467	rxn07467
rxn07468	4,4'-diapophytoene:FAD oxidoreductase
rxn07469	4,4'-diaponeurosporene,AH2:oxygen 4-oxidoreductase
rxn07470	4,4'-diaponeurosporenoate glucosyltransferase
rxn07471	R07656
rxn07472	1-hydroxy-2-naphthoate:oxygen 1,2-oxidoreductase (decyclizing)
rxn07473	R07658
rxn07474	R07659
rxn07475	R07660
rxn07476	UDP-4-deoxy-4-formamido-L-arabinose:undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinosyltransferase
rxn07477	4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol amidohydrolase
rxn07478	R07663
rxn07479	(S)-2-hydroxy-2-phenylacetate:acceptor 2-oxidoreductase
rxn07480	R07665
rxn07481	3-hydroxybenzaldehyde:NADP+ oxidoreductase
rxn07482	3-hydroxybenzaldehyde:NAD+ oxidoreductase
rxn07483	R07668
rxn07484	beta-hexachlorocyclohexane halidohydrolase
rxn07485	beta-2,3,4,5,6-Pentachlorocyclohexanol halidohydrolase
rxn07486	R07671
rxn07487	R07672
rxn07488	R07673
rxn07489	R07674
rxn07490	L-galactose:NAD+ 1-oxidoreductase
rxn07491	R07676
rxn07492	R07677
rxn07493	R07678
rxn07494	R07679
rxn07495	R07680
rxn07496	naphthalene disulfonate 1,2-dioxygenase
rxn07497	naphthalene disulfonate 1,2-dioxygenase
rxn07498	R07684
rxn07499	rxn07499
rxn07500	R07686
rxn07501	rxn07501
rxn07502	R07688
rxn07503	R07689
rxn07504	R07690
rxn07505	R07691
rxn07506	R07692
rxn07507	R07693
rxn07508	R07694
rxn07509	R07695
